"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication test","This test validate login authentication with valid entries","SUCCESS","2020-05-02T18:01:19.577+05:30","0.0","7.46"
"Customer register test","This test verify valid error message for POST request with existing user details","SUCCESS","2020-05-02T18:01:31.913+05:30","0.0","0.9"
"Authentication test","This test verify valid error message for invalid credentials","SUCCESS","2020-05-02T18:01:27.440+05:30","0.0","1.07"
"Customer register test","This test will register customer","SUCCESS","2020-05-02T18:01:30.404+05:30","0.0","1.5"
